Rank,Symbol,Description,NIFTY50,NIFTYNEXT50,NIFTY100,NIFTY200,NIFTY500,NIFTYTOTALMARKET,NIFTYMIDCAP50,NIFTYMIDCAP150,NIFTYMIDCAP100,NIFTYSMALLCAP250,NIFTYSMALLCAP50,NIFTYSMALLCAP100,NIFTYMICROCAP250,SectorialIndex
471,MGL,Mahanagar Gas Ltd,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,"NIFTY Oil & Gas, NIFTY Energy"
472,IEX,Indian Energy Exchange Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,NIFTY Capital Markets
473,OLECTRA,Olectra Greentech Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,NIFTY EV & New Age Automotive
474,GRINFRA,G R Infraprojects Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
475,JPPOWER,Jaiprakash Power Ventures Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,NIFTY Energy
476,AAVAS,Aavas Financiers Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
477,GRANULES,Granules India Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,"NIFTY Healthcare, NIFTY Pharma"
478,INDIACEM,India Cements Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
479,ELECON,Elecon Engineering Co. Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
480,RELAXO,Relaxo Footwears Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
481,RITES,RITES Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,NIFTY India Railways PSU
482,JYOTHYLAB,Jyothy Labs Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
483,CCL,CCL Products (India) Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
484,BLUEJET,Blue Jet Healthcare Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
485,CLEAN,Clean Science & Technology Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
486,BELRISE,Belrise Industries Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
487,INGERRAND,Ingersoll-Rand (India) Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
488,NSLNISP,NMDC Steel Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
489,GRAVITA,Gravita India Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
490,ITDCEM,ITD Cementation India Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
491,CARTRADE,CarTrade Tech Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
492,ANURAS,Anupam Rasayan India Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
493,MINDACORP,Minda Corp. Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,NIFTY EV & New Age Automotive
494,SANOFICONR,Sanofi Consumer Healthcare India Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
495,VTL,Vardhman Textiles Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
496,STARCEMENT,Star Cement Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
497,SANOFI,Sanofi India Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
498,RELINFRA,Reliance Infrastructure Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
499,ACUTAAS,Acutaas Chemicals Ltd,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
500,JUBLINGREA,Jubilant Ingrevia Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
501,EUREKAFORB,Eureka Forbes Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
502,WESTLIFE,Westlife Foodworld Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,NIFTY India Tourism
503,USHAMART,Usha Martin Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
504,METROPOLIS,Metropolis Healthcare Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
505,SBFC,SBFC Finance Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
506,ALIVUS,Alivus Life Sciences Ltd,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
507,PRUDENT,Prudent Corporate Advisory Services Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
508,SAMMAANCAP,Sammaan Capital Ltd,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
509,SHRIPISTON,Shriram Pistons & Rings Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
510,TITAGARH,Titagarh Rail Systems Ltd,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,
511,SUDARSCHEM,Sudarshan Chemical Industries Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
512,ENGINERSIN,Engineers India Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
513,BALRAMCHIN,Balrampur Chini Mills Ltd,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
514,VIJAYA,Vijaya Diagnostic Centre Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
515,TTML,Tata Teleservices (Maharashtra) Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,
516,IXIGO,Le Travenues Technology Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,NIFTY SME IPO
517,PVRINOX,PVR Inox Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,NIFTY Media
518,RAILTEL,RailTel Corp. of India Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,NIFTY India Railways PSU
519,J&KBANK,Jammu & Kashmir Bank Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
520,ZEEL,Zee Entertainment Enterprises Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,NIFTY Media
521,JKLAKSHMI,JK Lakshmi Cement Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
522,SUNDARMHLD,Sundaram Finance Holdings Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
523,BLACKBUCK,Zinka Logistics Solutions Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,NIFTY SME IPO
524,LLOYDSENT,Lloyds Enterprises Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
525,WELSPUNLIV,Welspun Living Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,
526,TIMETECHNO,Time Technoplast Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
527,PGHL,Procter & Gamble Health Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
528,ALKYLAMINE,Alkyl Amines Chemicals Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
529,EDELWEISS,Edelweiss Financial Services Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
530,WAAREERTL,Waaree Renewable Technologies Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
531,TEJASNET,Tejas Networks Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,NIFTY India Manufacturing
532,SAFARI,Safari Industries (India) Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,NIFTY India Tourism
533,INOXINDIA,INOX India Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
534,VESUVIUS,Vesuvius India Ltd,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
535,SAPPHIRE,Sapphire Foods India Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,NIFTY India Tourism
536,KRBL,KRBL Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
537,APOLLO,Apollo Micro Systems Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
538,BSOFT,Birlasoft Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,
539,RKFORGE,Ramkrishna Forgings Ltd,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,
540,CHENNPETRO,Chennai Petroleum Corporation Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
541,NAZARA,Nazara Technologies Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,NIFTY Media
542,ASKAUTOLTD,ASK Automotive Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
543,NESCO,NESCO Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
544,GRAPHITE,Graphite India Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
545,AZAD,Azad Engineering Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
546,GENUSPOWER,Genus Power Infrastructures Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
547,TRANSRAILL,Transrail Lighting Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,NIFTY SME IPO
548,HFCL,HFCL Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,
549,SONATSOFTW,Sonata Software Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,
550,CANFINHOME,Can Fin Homes Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
551,SHAKTIPUMP,Shakti Pumps (India) Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
552,ABFRL,Aditya Birla Fashion and Retail Ltd,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,
553,MEDPLUS,MedPlus Health Services Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
554,SHAILY,Shaily Engineering Plastics Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
555,BIRLACORPN,Birla Corporation Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
556,AETHER,Aether Industries Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
557,SCI,Shipping Corporation of India Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
558,INDIASHLTR,India Shelter Finance Corp. Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
559,HONASA,Honasa Consumer Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
560,POWERMECH,Power Mech Projects Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
561,RHIM,RHI Magnesita India Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
562,HCG,HealthCare Global Enterprises Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
563,JSLL,Jeena Sikho Lifecare Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
564,ASTRAMICRO,Astra Microwave Products Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,NIFTY India Defence
565,KPIGREEN,KPI Green Energy Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
566,HEG,HEG Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
567,MMTC,MMTC Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
568,SAREGAMA,Saregama India Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,NIFTY Media
569,JLHL,Jupiter Life Line Hospitals Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
570,DBREALTY,Valor Estate Ltd,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
571,JKTYRE,JK Tyre & Industries Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
572,LLOYDSENGG,Lloyds Engineering Works Ltd,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
573,LLOYDSENPP.E1,Lloyds Engineering Works Ltd TEMP,No,No,No,No,No,No,No,No,No,No,No,No,No,
574,WABAG,VA Tech Wabag Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
575,TTKPRESTIG,TTK Prestige Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
576,JAIBALAJI,Jai Balaji Industries Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
577,IIFLCAPS,IIFL Capital Services Ltd,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
578,OSWALPUMPS,Oswal Pumps Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
579,BECTORFOOD,Mrs. Bector's Food Specialities Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
580,MAPMYINDIA,C.E. Info Systems Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
581,ALOKINDS,Alok Industries Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
582,LOTUSDEV,Sri Lotus Developers and Realty Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
583,AVANTIFEED,Avanti Feeds Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
584,TCI,Transport Corporation of India Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
585,TI,Tilaknagar Industries Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
586,LATENTVIEW,Latent View Analytics Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
587,RCF,Rashtriya Chemicals & Fertilizers Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
588,DODLA,Dodla Dairy Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
589,BANCOINDIA,Banco Products (India) Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
590,PRIVISCL,Privi Speciality Chemicals Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
591,RELIGARE,Religare Enterprises Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
592,HAPPSTMNDS,Happiest Minds Technologies Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
593,MAHSEAMLES,Maharashtra Seamless Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
594,PCJEWELLER,PC Jeweller Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
595,VARROC,Varroc Engineering Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
596,TANLA,Tanla Platforms Ltd,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
597,BLUESTONE,Bluestone Jewellery and Lifestyle Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
598,GSFC,Gujarat State Fertilizers & Chemicals Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
599,ACI,Archean Chemical Industries Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
600,HAPPYFORGE,Happy Forging Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
601,TDPOWERSYS,TD Power Systems Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
602,THOMASCOOK,Thomas Cook (India) Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
603,GALAXYSURF,Galaxy Surfactants Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
604,UJJIVANSFB,Ujjivan Small Finance Bank Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
605,VIKRAMSOLR,Vikram Solar Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
606,NETWORK18,Network18 Media & Investments Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,NIFTY Media
607,PGINVIT,Powergrid Infrastructure Invesment Trust,No,No,No,No,No,No,No,No,No,No,No,No,No,
608,KIRLPNU,Kirloskar Pneumatic Co. Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
609,CERA,Cera Sanitaryware Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,NIFTY Consumer Durables
610,SHILPAMED,Shilpa Medicare Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
611,KALPATARU,Kalpataru Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
612,RTNINDIA,RattanIndia Enterprises Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,NIFTY EV & New Age Automotive
613,SANSERA,Sansera Engineering Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
614,CAMPUS,Campus Activewear Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
615,SHARDACROP,Sharda Cropchem Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
616,STAR,Strides Pharma Science Ltd,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
617,VOLTAMP,Voltamp Transformers Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
618,AARTIPHARM,Aarti Pharmalabs Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
619,PNGJL,P N Gadgil Jewellers Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,NIFTY SME IPO
620,TRIVENI,Triveni Engineering and Industries Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
621,ESABINDIA,Esab India Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
622,GMRP&UI,GMR Power and Urban Infra Ltd,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
623,MANORAMA,Manorama Industries Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
624,AJAXENGG,Ajax Engineering Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
625,PNCINFRA,PNC Infratech Ltd,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
626,SFL,Sheela Foam Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
627,MARKSANS,Marksans Pharma Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
628,RUSTOMJEE,Keystone Realtors Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
629,MASTEK,Mastek Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
630,ARVIND,Arvind Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
631,EPIGRAL,Epigral Ltd,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
632,DBL,Dilip Buildcon Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
633,BALUFORGE,Balu Forge Industries Ltd,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
634,MAHLIFE,Mahindra Lifespace Developers Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
635,BBOX,Black Box Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
636,GARFIBRES,Garware Technical Fibres Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
637,GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,NIFTY Chemicals
638,RAYMONDLSL,Raymond Lifestyle Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
639,ISGEC,ISGEC Heavy Engineering Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
640,SOUTHBANK,South Indian Bank Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
641,PRSMJOHNSN,Prism Johnson Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
642,REDTAPE,Redtape Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
643,FDC,FDC Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
644,BORORENEW,Borosil Renewables Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
645,SANDUMA,Sandur Manganese & Iron Ores Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
646,DIACABS,Diamond Power Infrastructure Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
647,TIPSMUSIC,Tips Music Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,NIFTY Media
648,YATHARTH,Yatharth Hospital and Trauma Care Services Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
649,ELLEN,Ellenbarrie Industrial Gases Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
650,PRAJIND,PRAJ Industries Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
651,EPL,EPL Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
652,DHANUKA,Dhanuka Agritech Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
653,AKUMS,Akums Drugs and Pharmaceuticals Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,NIFTY SME IPO
654,MHRIL,Mahindra Holidays & Resorts India Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY India Tourism
655,GPPL,Gujarat Pipavav Port Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
656,ARVINDFASN,Arvind Fashions Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
657,GANESHHOUC,Ganesh Housing Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
658,LUMAXTECH,Lumax Auto Technologies Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
659,RATEGAIN,RateGain Travel Technologies Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
660,MIDHANI,Mishra Dhatu Nigam Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,NIFTY India Defence
661,AURIONPRO,Aurionpro Solutions Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
662,FISCHER,Fischer Medical Ventures Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
663,THYROCARE,Thyrocare Technologies Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
664,RALLIS,Rallis India Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
665,MOIL,Moil Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
666,MAXESTATES,Max Estates Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
667,JUSTDIAL,Just Dial Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
668,HMT,HMT Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
669,PURVA,Puravankara Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
670,CMSINFO,CMS Info Systems Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
671,THANGAMAYL,Thangamayil Jewellery Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
672,JKPAPER,JK Paper Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
673,TMB,Tamilnad Mercantile Bank Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
674,CHEMPLASTS,Chemplast Sanmar Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
675,GRWRHITECH,Garware Hi-Tech Films Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
676,RENUKA,Shree Renuka Sugars Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
677,AVL,Aditya Vision Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
678,QPOWER,Quality Power Electrical Equipments Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
679,KTKBANK,Karnataka Bank Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
680,ETHOSLTD,Ethos Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
681,WELENT,Welspun Enterprises Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
682,BAJAJELEC,Bajaj Electricals Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
683,RTNPOWER,RattanIndia Power Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
684,HNDFDS,Hindustan Foods Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
685,JUNIPER,Juniper Hotels Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
686,SYMPHONY,Symphony Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
687,HGINFRA,H.G. Infra Engineering Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
688,SURYAROSNI,Surya Roshni Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
689,CRIZAC,Crizac Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
690,AHLUCONT,Ahluwalia Contracts (India) Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
691,SENCO,Senco Gold Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
692,CSBBANK,CSB Bank Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
693,GULFOILLUB,Gulf Oil Lubricants India Ltd,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
694,SUPRAJIT,Suprajit Engineering Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
695,SKIPPER,Skipper Ltd,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
696,MANINFRA,Man Infraconstruction Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
697,SMARTWORKS,Smartworks Coworking Spaces Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
698,VIPIND,V.I.P.INDUSTRIES LTD.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,NIFTY India Tourism
699,SWSOLAR,Sterling And Wilson Renewable Energy Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
700,IFBIND,IFB Industries Ltd,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
701,IONEXCHANG,Ion Exchange (India) Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
702,KSCL,Kaveri Seed Co. Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
703,PRICOLLTD,Pricol Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
704,SHARDAMOTR,Sharda Motor Industries Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
705,ELECTCAST,Electrosteel Castings Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
706,ICRA,ICRA Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
707,GREENLAM,Greenlam Industries Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
708,DATAMATICS,Datamatics Global Services Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
709,SHOPERSTOP,Shoppers Stop Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
710,EQUITASBNK,Equitas Small Finance Bank Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
711,VMART,V-Mart Retail Ltd,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
712,LXCHEM,Laxmi Organic Industries Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
713,SUBROS,Subros Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
714,EMUDHRA,eMudhra Limited,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
715,TVSSCS,TVS Supply Chain Solutions Ltd.,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,
716,AXISCADES,AXISCADES Technologies Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
717,V2RETAIL,V2 Retail Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
