Rank,Symbol,Description,NIFTY50,NIFTYNEXT50,NIFTY100,NIFTY200,NIFTY500,NIFTYTOTALMARKET,NIFTYMIDCAP50,NIFTYMIDCAP150,NIFTYMIDCAP100,NIFTYSMALLCAP250,NIFTYSMALLCAP50,NIFTYSMALLCAP100,NIFTYMICROCAP250,SectorialIndex
146,COROMANDEL,Coromandel International Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,"NIFTY Chemicals, NIFTY India Manufacturing"
147,COLPAL,Colgate-Palmolive (India) Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,NIFTY FMCG
148,PRESTIGE,Prestige Estates Projects Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,NIFTY Realty
149,PATANJALI,Patanjali Foods Limited,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,NIFTY FMCG
150,ATGL,Adani Total Gas Ltd.,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,"NIFTY Oil & Gas, NIFTY Energy"
151,TORNTPOWER,Torrent Power Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"NIFTY Energy, NIFTY Commodities"
152,FACT,Fertilizers & Chemicals Travancore Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
153,NMDC,NMDC Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"NIFTY Metal, NIFTY Commodities"
154,GICRE,General Insurance Corporation of India,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,
155,HDBFS,HDB Financial Services Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
156,OIL,Oil India Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"NIFTY Oil & Gas, NIFTY Energy, NIFTY Commodities"
157,YESBANK,Yes Bank Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,NIFTY Private Bank
158,MRF,MRF Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"NIFTY Auto, NIFTY India Manufacturing"
159,ALKEM,Alkem Laboratories Ltd.,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"NIFTY Healthcare, NIFTY Pharma, NIFTY India Manufacturing"
160,BERGEPAINT,Berger Paints India Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,
161,JSWINFRA,JSW Infrastructure Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,
162,JSL,Jindal Stainless Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,NIFTY Metal
163,OBEROIRLTY,Oberoi Realty Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,NIFTY Realty
164,GODREJPROP,Godrej Properties Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"NIFTY Realty, NIFTY Infrastructure"
165,AUROPHARMA,Aurobindo Pharma Ltd,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"NIFTY Healthcare, NIFTY Pharma, NIFTY India Manufacturing"
166,SCHAEFFLER,Schaeffler India Ltd,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,
167,INDUSINDBK,IndusInd Bank Ltd.,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,"NIFTY Bank, NIFTY Private Bank"
168,UPL,UPL Limited,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,"NIFTY Chemicals, NIFTY Commodities, NIFTY India Manufacturing"
169,SUPREMEIND,Supreme Industries Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,NIFTY India Manufacturing
170,TIINDIA,Tube Investments of India Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"NIFTY Auto, NIFTY EV & New Age Automotive, NIFTY India Manufacturing"
171,LTF,L&T Finance Ltd,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,
